character,movie,mbti,href,year,notes,id,mbti_vote,mbti_count,big5_vote,big5_count
Seth Plummer,the pacifier,ISFP,https://www.personality-database.com/profile/138338/seth-plummer-the-pacifier-2005-mbti-personality-type,2005.0,,395699.0,ISFP(4),5 Votes,XXXX(0),0 Votes
Shane Wolfe,the pacifier,ISTJ,https://www.personality-database.com/profile/138336/shane-wolfe-the-pacifier-2005-mbti-personality-type,2005.0,,395699.0,ISTJ(7),8 Votes,XXXX(0),0 Votes
Anne Stewart,the others,ENTP,https://www.personality-database.com/profile/134746/anne-stewart-the-others-2001-mbti-personality-type,2001.0,,230600.0,ENTP(14),23 Votes,SCUEI(2),3 Votes
Mrs. Bertha Mills,the others,INFJ,https://www.personality-database.com/profile/134748/mrs-bertha-mills-the-others-2001-mbti-personality-type,2001.0,,230600.0,INFJ(11),13 Votes,RCOAI(1),1 Votes
Nicholas Stewart,the others,INFP,https://www.personality-database.com/profile/134747/nicholas-stewart-the-others-2001-mbti-personality-type,2001.0,,230600.0,INFP(8),14 Votes,RLOAN(1),3 Votes
Lydia,the others,ISFP,https://www.personality-database.com/profile/339523/lydia-the-others-2001-mbti-personality-type,2001.0,,230600.0,ISFP(3),3 Votes,XXXX(0),0 Votes
Grace Stewart,the others,ISTJ,https://www.personality-database.com/profile/134745/grace-stewart-the-others-2001-mbti-personality-type,2001.0,,230600.0,ISTJ(21),31 Votes,RLOAN(2),4 Votes
Mr. Edmund Tuttle,the others,ISTP,https://www.personality-database.com/profile/339918/mr-edmund-tuttle-the-others-2001-mbti-personality-type,2001.0,,230600.0,ISTP(4),5 Votes,XXXX(0),0 Votes
Marie Desalle,high fidelity,ENTP,https://www.personality-database.com/profile/132857/marie-desalle-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ENTP(3),7 Votes,SLUAN(1),1 Votes
Barry,high fidelity,ENTP,https://www.personality-database.com/profile/132856/barry-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ENTP(7),12 Votes,XXXX(0),0 Votes
Liz,high fidelity,ESFJ,https://www.personality-database.com/profile/132859/liz-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ESFJ(3),3 Votes,XXXX(0),0 Votes
Charlie Nicholson,high fidelity,ESTP,https://www.personality-database.com/profile/132858/charlie-nicholson-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ESTP(8),17 Votes,SCUEI(2),2 Votes
Rob Gordon,high fidelity,INFP,https://www.personality-database.com/profile/132853/rob-gordon-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,INFP(16),38 Votes,RLUEI(2),3 Votes
Dick,high fidelity,ISFJ,https://www.personality-database.com/profile/132855/dick-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ISFJ(3),6 Votes,XXXX(0),0 Votes
Laura,high fidelity,ISFJ,https://www.personality-database.com/profile/132854/laura-high-fidelity-2000-mbti-personality-type,2000.0,,146882.0,ISFJ(5),7 Votes,XXXX(0),0 Votes
Harry Doyle,major league,ENTP,https://www.personality-database.com/profile/130559/harry-doyle-major-league-1989-mbti-personality-type,1989.0,,97815.0,ENTP(2),2 Votes,XXXX(0),0 Votes
Roger Dorn,major league,ESTP,https://www.personality-database.com/profile/8536/roger-dorn-major-league-1989-mbti-personality-type,1989.0,,97815.0,ESTP(6),6 Votes,XXXX(0),0 Votes
Lynn Weslin,major league,INFJ,https://www.personality-database.com/profile/130750/lynn-weslin-major-league-1989-mbti-personality-type,1989.0,,97815.0,INFJ(1),1 Votes,XXXX(0),0 Votes
Pedro Cerrano,major league,ISFP,https://www.personality-database.com/profile/8538/pedro-cerrano-major-league-1989-mbti-personality-type,1989.0,,97815.0,ISFP(6),6 Votes,XXXX(0),0 Votes
Charlie Donovan,major league,ISTJ,https://www.personality-database.com/profile/134845/charlie-donovan-major-league-1989-mbti-personality-type,1989.0,,97815.0,ISTJ(1),1 Votes,XXXX(0),0 Votes
Ed Harris,major league,ISTJ,https://www.personality-database.com/profile/125569/ed-harris-major-league-1989-mbti-personality-type,1989.0,,97815.0,ISTJ(2),2 Votes,XXXX(0),0 Votes
Ricky Vaughn,major league,ISTP,https://www.personality-database.com/profile/8534/ricky-vaughn-major-league-1989-mbti-personality-type,1989.0,,97815.0,ISTP(5),5 Votes,XXXX(0),0 Votes
Samuel Fanning,the babadook,ENTP,https://www.personality-database.com/profile/118961/samuel-fanning-the-babadook-2014-mbti-personality-type,2014.0,,2321549.0,ENTP(22),25 Votes,SLUEI(4),4 Votes
Claire,the babadook,ESTJ,https://www.personality-database.com/profile/145448/claire-the-babadook-2014-mbti-personality-type,2014.0,,2321549.0,ESTJ(2),2 Votes,XXXX(0),0 Votes
Babadook,the babadook,INTJ,https://www.personality-database.com/profile/145447/babadook-the-babadook-2014-mbti-personality-type,2014.0,,2321549.0,INTJ(14),18 Votes,XXXX(0),0 Votes
John McBurney,the beguiled,ENTP,https://www.personality-database.com/profile/111080/john-mcburney-the-beguiled-1971-mbti-personality-type,1971.0,,66819.0,ENTP(2),2 Votes,XXXX(0),0 Votes
Miss Casswell,all about eve,ENTP,https://www.personality-database.com/profile/109059/miss-casswell-all-about-eve-1950-mbti-personality-type,1950.0,,42192.0,ENTP(2),2 Votes,XXXX(0),0 Votes
