movie,year,id
Witchcraft,1916,7575
Now or Never,1921,12512
The Lost World,1925,16039
The Phantom of the Opera,1925,16220
The Jazz Singer,1927,18037
London After Midnight,1927,18097
Napoleon,1927,18192
The Passion of Joan of Arc,1928,19254
One Good Turn,1930,21214
An American Tragedy,1931,21607
Frankenstein,1931,21884
The Last Flight,1931,22054
Platinum Blonde,1931,22268
American Madness,1932,22626
Grand Hotel,1932,22958
One Way Passage,1932,23305
Trouble in Paradise,1932,23622
Vampyr,1932,23649
Duck Soup,1933,23969
Mystery of the Wax Museum,1933,24368
It Happened One Night,1934,25316
Maniac,1934,25465
The Thin Man,1934,25878
Transatlantic Merry-Go-Round,1934,25905
Mr. Deeds Goes to Town,1936,27996
Lost Horizon,1937,29162
Angels with Dirty Faces,1938,29870
Bringing Up Baby,1938,29947
Pygmalion,1938,30637
Gone with the Wind,1939,31381
Mr. Smith Goes to Washington,1939,31679
Ninotchka,1939,31725
Stagecoach,1939,31971
The Wizard of Oz,1939,32138
The Grapes of Wrath,1940,32551
His Girl Friday,1940,32599
New Moon,1940,32840
Citizen Kane,1941,33467
All That Money Can Buy,1941,33532
Dr. Jekyll and Mr. Hyde,1941,33553
The Maltese Falcon,1941,33870
Meet John Doe,1941,33891
Casablanca,1942,34583
Cat People,1942,34587
Kate & Leopold,2001,35423
I Walked with a Zombie,1943,36027
The Leopard Man,1943,36104
The Life and Death of Colonel Blimp,1943,36112
The Seventh Victim,1943,36341
Arsenic and Old Lace,1944,36613
The Curse of the Cat People,1944,36733
Double Indemnity,1944,36775
Tall in the Saddle,1944,37343
The Body Snatcher,1945,37549
Isle of the Dead,1945,37820
The Lost Weekend,1945,37884
The Big Sleep,1946,38355
It's a Wonderful Life,1946,38650
The Jolson Story,1946,38661
Mr. Blandings Builds His Dream House,1948,40613
The Naked City,1948,40636
Portrait of Jennie,1948,40705
Station West,1948,40835
All the King's Men,1949,41113
Roughshod,1949,41827
The Third Man,1949,41959
All About Eve,1950,42192
Harvey,1950,42546
The Jackie Robinson Story,1950,42609
Sunset Blvd.,1950,43014
The African Queen,1951,43265
Apache Drums,1951,43291
The Day the Earth Stood Still,1951,43456
A Christmas Carol,1951,44008
Strangers on a Train,1951,44079
High Noon,1952,44706
Singin' in the Rain,1952,45152
From Here to Eternity,1953,45793
Inferno,1953,45911
Stalag 17,1953,46359
The War of the Worlds,1953,46534
On the Waterfront,1954,47296
Rear Window,1954,47396
Sabrina,1954,47437
Salt of the Earth,1954,47443
Seven Samurai,1954,47478
White Christmas,1954,47673
The Wild One,1953,47677
The White Angel,1955,47832
Bad Day at Black Rock,1955,47849
Marty,1955,48356
The Night of the Hunter,1955,48424
Rebel Without a Cause,1955,48545
Forbidden Planet,1956,49223
The Man Who Knew Too Much,1956,49470
The Searchers,1956,49730
12 Angry Men,1957,50083
An Affair to Remember,1957,50105
The Bachelor Party,1957,50156
The Seventh Seal,1957,50976
Sweet Smell of Success,1957,51036
The Wings of Eagles,1957,51198
The 7th Voyage of Sinbad,1958,51337
Vertigo,1958,52357
The Vikings,1958,52365
Anatomy of a Murder,1959,52561
The Atomic Submarine,1959,52587
A Bucket of Blood,1959,52655
North by Northwest,1959,53125
Some Like It Hot,1959,53291
13 Ghosts,1960,53559
The Apartment,1960,53604
L'Avventura,1960,53619
Peeping Tom,1960,54167
Psycho,1960,54215
Orgy of the Dead,1965,54240
Spartacus,1960,54331
The Time Machine,1960,54387
The Hustler,1961,54997
Viridiana,1961,55601
Dr. No,1962,55928
Lawrence of Arabia,1962,56172
The Miracle Worker,1962,56241
Ride the High Country,1962,56412
To Kill a Mockingbird,1962,56592
8½,1963,56801
The Birds,1963,56869
Charade,1963,56923
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,57012
From Russia with Love,1963,57076
The Great Escape,1963,57115
House of the Damned,1963,57160
Goldfinger,1964,58150
A Hard Day's Night,1964,58182
Mary Poppins,1964,58331
Nothing But a Man,1964,58414
The Battle of Algiers,1966,58946
The Cincinnati Kid,1965,59037
Doctor Zhivago,1965,59113
The Sound of Music,1965,59742
Thunderball,1965,59800
Fantastic Voyage,1966,60397
Bonnie and Clyde,1967,61418
Cool Hand Luke,1967,61512
The Graduate,1967,61722
Two for the Road,1967,62407
2001: A Space Odyssey,1968,62622
The Lion in Winter,1968,63227
Night of the Living Dead,1968,63350
Petulia,1968,63426
Planet of the Apes,1968,63442
The Producers,1967,63462
Rosemary's Baby,1968,63522
Shame,1968,63611
The Swimmer,1968,63663
Butch Cassidy and the Sundance Kid,1969,64115
Midnight Cowboy,1969,64665
The Wild Bunch,1969,65214
Five Easy Pieces,1970,65724
M*A*S*H,1970,66026
The Private Life of Sherlock Holmes,1970,66249
THX 1138,1971,66434
The Beguiled,1971,66819
A Clockwork Orange,1971,66921
Escape from the Planet of the Apes,1971,67065
The French Connection,1971,67116
Get Carter,1971,67128
"Happy Birthday, Wanda June",1971,67180
Harold and Maude,1971,67185
The Hospital,1971,67217
Klute,1971,67309
The Last Picture Show,1971,67328
A New Leaf,1971,67482
The Omega Man,1971,67525
Walkabout,1971,67959
Willy Wonka & the Chocolate Factory,1971,67992
The Getaway,1972,68638
The Other Side of the Wind,2018,69049
The Poseidon Adventure,1972,69113
Sounder,1972,69303
The Stone Tape,,69316
American Graffiti,1973,69704
Badlands,1973,69762
Dark Star,1974,69945
Don't Look Now,1973,69995
The Exorcist,1973,70047
Live and Let Die,1973,70328
The Long Goodbye,1973,70334
Mean Streets,1973,70379
Paper Moon,1973,70510
Soylent Green,1973,70723
The Sting,1973,70735
Last Tango in Paris,1972,70849
The Wicker Man,1973,70917
Black Christmas,1974,71222
Chinatown,1974,71315
The Godfather Part II,1974,71562
Gone in 60 Seconds,1974,71571
The Great Gatsby,1974,71577
Lenny,1974,71746
Monty Python and the Holy Grail,1975,71853
The Parallax View,1974,71970
The Taking of Pelham One Two Three,1974,72251
The Texas Chain Saw Massacre,1974,72271
Young Frankenstein,1974,72431
Barry Lyndon,1975,72684
Dog Day Afternoon,1975,72890
Jaws,1975,73195
Nashville,1975,73440
One Flew Over the Cuckoo's Nest,1975,73486
Picnic at Hanging Rock,1975,73540
The Rocky Horror Picture Show,1975,73629
Shampoo,1975,73692
Shivers,1975,73705
Three Days of the Condor,1975,73802
All the President's Men,1976,74119
Car Wash,1976,74281
Carrie,1976,74285
Eraserhead,1977,74486
Cross of Iron,1977,74695
Logan's Run,1976,74812
Mikey and Nicky,1976,74901
Network,1976,74958
The Omen,1976,75005
Rocky,1976,75148
Taxi Driver,1976,75314
Annie Hall,1977,75686
Close Encounters of the Third Kind,1977,75860
Exorcist II: The Heretic,1977,76009
The Goodbye Girl,1977,76095
Julia,1977,76245
Rabid,1977,76590
Smokey and the Bandit,1977,76729
The Spy Who Loved Me,1977,76752
Star Wars: Episode IV - A New Hope,1977,76759
Which Way Is Up?,1977,76913
Coming Home,1978,77362
Dawn of the Dead,1978,77402
Days of Heaven,1978,77405
The Deer Hunter,1978,77416
The Driver,1978,77474
Grease,1978,77631
Halloween,1978,77651
Heaven Can Wait,1978,77663
