movie,year,id
witchcraft,1916.0,7575
now or never,1921.0,12512
the lost world,1925.0,16039
the phantom of the opera,1925.0,16220
the jazz singer,1927.0,18037
london after midnight,1927.0,18097
napoleon,1927.0,18192
the passion of joan of arc,1928.0,19254
one good turn,1930.0,21214
an american tragedy,1931.0,21607
frankenstein,1931.0,21884
the last flight,1931.0,22054
platinum blonde,1931.0,22268
american madness,1932.0,22626
grand hotel,1932.0,22958
one way passage,1932.0,23305
trouble in paradise,1932.0,23622
vampyr,1932.0,23649
duck soup,1933.0,23969
mystery of the wax museum,1933.0,24368
it happened one night,1934.0,25316
maniac,1934.0,25465
the thin man,1934.0,25878
transatlantic merry-go-round,1934.0,25905
mr. deeds goes to town,1936.0,27996
lost horizon,1937.0,29162
angels with dirty faces,1938.0,29870
bringing up baby,1938.0,29947
pygmalion,1938.0,30637
gone with the wind,1939.0,31381
mr. smith goes to washington,1939.0,31679
ninotchka,1939.0,31725
stagecoach,1939.0,31971
the wizard of oz,1939.0,32138
the grapes of wrath,1940.0,32551
his girl friday,1940.0,32599
new moon,1940.0,32840
citizen kane,1941.0,33467
all that money can buy,1941.0,33532
dr. jekyll and mr. hyde,1941.0,33553
the maltese falcon,1941.0,33870
meet john doe,1941.0,33891
casablanca,1942.0,34583
cat people,1942.0,34587
kate & leopold,2001.0,35423
i walked with a zombie,1943.0,36027
the leopard man,1943.0,36104
the life and death of colonel blimp,1943.0,36112
the seventh victim,1943.0,36341
arsenic and old lace,1944.0,36613
the curse of the cat people,1944.0,36733
double indemnity,1944.0,36775
tall in the saddle,1944.0,37343
the body snatcher,1945.0,37549
isle of the dead,1945.0,37820
the lost weekend,1945.0,37884
the big sleep,1946.0,38355
it's a wonderful life,1946.0,38650
the jolson story,1946.0,38661
mr. blandings builds his dream house,1948.0,40613
the naked city,1948.0,40636
portrait of jennie,1948.0,40705
station west,1948.0,40835
all the king's men,1949.0,41113
roughshod,1949.0,41827
the third man,1949.0,41959
all about eve,1950.0,42192
harvey,1950.0,42546
the jackie robinson story,1950.0,42609
sunset blvd.,1950.0,43014
the african queen,1951.0,43265
apache drums,1951.0,43291
the day the earth stood still,1951.0,43456
a christmas carol,1951.0,44008
strangers on a train,1951.0,44079
high noon,1952.0,44706
singin' in the rain,1952.0,45152
from here to eternity,1953.0,45793
inferno,1953.0,45911
stalag 17,1953.0,46359
the war of the worlds,1953.0,46534
on the waterfront,1954.0,47296
rear window,1954.0,47396
sabrina,1954.0,47437
salt of the earth,1954.0,47443
seven samurai,1954.0,47478
white christmas,1954.0,47673
the wild one,1953.0,47677
the white angel,1955.0,47832
bad day at black rock,1955.0,47849
