character,movie,mbti,href,year,notes,id
Joy,inside out,ENFJ,https://www.personality-database.com/profile/859/joy-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Riley's Mom's Sadness,inside out,ENFJ,https://www.personality-database.com/profile/501047/rileys-moms-sadness-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Bing Bong,inside out,ENFP,https://www.personality-database.com/profile/864/bing-bong-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Riley's Dad's Anger,inside out,ENTJ,https://www.personality-database.com/profile/474263/rileys-dads-anger-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Jill Andersen,inside out,ESFJ,https://www.personality-database.com/profile/38537/jill-andersen-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Meg,inside out,ESFP,https://www.personality-database.com/profile/577430/meg-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
The Imaginary Boyfriend,inside out,ESFP,https://www.personality-database.com/profile/577429/the-imaginary-boyfriend-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Jangles the Clown,inside out,ESFP,https://www.personality-database.com/profile/340595/jangles-the-clown-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Anger,inside out,ESTJ,https://www.personality-database.com/profile/862/anger-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
The Dream Producer,inside out,ESTJ,https://www.personality-database.com/profile/501441/the-dream-producer-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Disgust,inside out,ESTP,https://www.personality-database.com/profile/863/disgust-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Sadness,inside out,INFP,https://www.personality-database.com/profile/860/sadness-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Jordan,inside out,INTP,https://www.personality-database.com/profile/196832/jordan-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
Fear,inside out,ISFJ,https://www.personality-database.com/profile/861/fear-inside-out-2015-mbti-personality-type,2015.0,,2096673.0
