,Unnamed: 0,character,movie,mbti,href,year,notes,id,esfp,esfj,estp,estj,enfp,enfj,entp,entj,isfp,isfj,istp,istj,infp,infj,intp,intj,xxxx
0,8000,Arthur Gayle,this boy's life,INFJ,https://www.personality-database.com/profile/438355/arthur-gayle-this-boys-life-1993-mbti-personality-type,1993.0,,108330.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,
1,8001,"Tobias ""Toby"" Wolff",this boy's life,ISFP,https://www.personality-database.com/profile/44766/tobias-toby-wolff-this-boys-life-1993-mbti-personality-type,1993.0,,108330.0,0,0,0,0,1,0,0,0,10,0,0,0,3,0,0,0,
2,8002,Terry,sea of love,ESFP,https://www.personality-database.com/profile/32512/terry-sea-of-love-1989-mbti-personality-type,1989.0,,98273.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,8003,Helen Cruger,sea of love,ISFP,https://www.personality-database.com/profile/32510/helen-cruger-sea-of-love-1989-mbti-personality-type,1989.0,,98273.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
4,8004,Frank Keller Sr.,sea of love,ISTJ,https://www.personality-database.com/profile/32513/frank-keller-sr-sea-of-love-1989-mbti-personality-type,1989.0,,98273.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
5,8005,Ava,only lovers left alive,ESFP,https://www.personality-database.com/profile/27806/ava-only-lovers-left-alive-2013-mbti-personality-type,2013.0,,1714915.0,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,8006,Christopher Marlowe,only lovers left alive,INFJ,https://www.personality-database.com/profile/27807/christopher-marlowe-only-lovers-left-alive-2013-mbti-personality-type,2013.0,,1714915.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
7,8007,Eve,only lovers left alive,INFJ,https://www.personality-database.com/profile/27805/eve-only-lovers-left-alive-2013-mbti-personality-type,2013.0,,1714915.0,0,0,0,0,4,23,0,0,0,0,0,0,0,25,0,0,
8,8008,Adam,only lovers left alive,INTJ,https://www.personality-database.com/profile/27804/adam-only-lovers-left-alive-2013-mbti-personality-type,2013.0,,1714915.0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8,45,
9,8009,Ian,only lovers left alive,ISFP,https://www.personality-database.com/profile/342766/ian-only-lovers-left-alive-2013-mbti-personality-type,2013.0,,1714915.0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
10,8010,Billy Hicks,st. elmo's fire,ESFP,https://www.personality-database.com/profile/27470/billy-hicks-st-elmos-fire-1985-mbti-personality-type,1985.0,,90060.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,8011,Julianna “Jules” Van Patten,st. elmo's fire,ESFP,https://www.personality-database.com/profile/27469/julianna-jules-van-patten-st-elmos-fire-1985-mbti-personality-type,1985.0,,90060.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,8012,Dale Biberman,st. elmo's fire,ESTJ,https://www.personality-database.com/profile/248732/dale-biberman-st-elmos-fire-1985-mbti-personality-type,1985.0,,90060.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
13,8013,Alec Newbury,st. elmo's fire,ESTJ,https://www.personality-database.com/profile/27473/alec-newbury-st-elmos-fire-1985-mbti-personality-type,1985.0,,90060.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
14,8014,Kevin Dolenz,st. elmo's fire,INTP,https://www.personality-database.com/profile/27475/kevin-dolenz-st-elmos-fire-1985-mbti-personality-type,1985.0,,90060.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,
