,text,href
0,Abandoned Area,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedArea
1,Abandoned Mascot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonedMascot
2,Abandon Shipping,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbandonShipping
3,Abhorrent Admirer,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbhorrentAdmirer
4,Abnormal Ammo,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbnormalAmmo
5,Aborted Arc,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbortedArc
6,A Bouncy Springy Index,https://tvtropes.org/pmwiki/pmwiki.php/Main/ABouncySpringyIndex
7,Abridged Series Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbridgedSeriesTropes
8,Abstract Strategy Game,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbstractStrategyGame
9,Absurd Cutting Power,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdCuttingPower
10,Absurdism,https://tvtropes.org/pmwiki/pmwiki.php/Main/Absurdism
11,Absurdity Ascendant,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdityAscendant
12,Absurdly High Level Cap,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbsurdlyHighLevelCap
13,Abuse Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbuseTropes
14,Abusive Parents,https://tvtropes.org/pmwiki/pmwiki.php/Main/AbusiveParents
15,Accent Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccentTropes
16,Acceptable Breaks From Reality,https://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableBreaksFromReality
17,Acceptable Feminine Goals And Traits,https://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableFeminineGoalsAndTraits
18,Acceptable Targets,https://tvtropes.org/pmwiki/pmwiki.php/Main/AcceptableTargets
19,Accidental Aesop,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalAesop
20,Accidental Index,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalIndex
21,Accidental Innuendo,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalInnuendo
22,Accidentally Correct Writing,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentallyCorrectWriting
23,Accidental Misnaming,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalMisnaming
24,Accidental Murder,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalMurder
25,Accidental Public Confession,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPublicConfession
26,Accomplice By Inaction,https://tvtropes.org/pmwiki/pmwiki.php/Main/AccompliceByInaction
27,Ace Pilot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AcePilot
28,Achievements In Ignorance,https://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementsInIgnorance
29,A Child Shall Lead Them,https://tvtropes.org/pmwiki/pmwiki.php/Main/AChildShallLeadThem
30,Achilles Heel,https://tvtropes.org/pmwiki/pmwiki.php/Main/AchillesHeel
31,A Commander Is You,https://tvtropes.org/pmwiki/pmwiki.php/Main/ACommanderIsYou
32,Acrofatic,https://tvtropes.org/pmwiki/pmwiki.php/Main/Acrofatic
33,Acting For Two,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActingForTwo
34,Action Adventure,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionAdventure
35,Action Adventure Series,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionAdventureSeries
36,Action Adventure Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionAdventureTropes
37,Action Bomb,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionBomb
38,Action Dad,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionDad
39,Action Game,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGame
40,Action Genre,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGenre
41,Action Girl,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGirl
42,Action Mom,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionMom
43,Action Prologue,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionPrologue
44,Action RPG,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionRPG
45,Action RTS,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionRTS
46,Action Series,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActionSeries
47,Actor Allusion,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActorAllusion
48,Actors,https://tvtropes.org/pmwiki/pmwiki.php/Main/Actors
49,Actor Shipping,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActorShipping
50,Actually Pretty Funny,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActuallyPrettyFunny
51,Actual Play,https://tvtropes.org/pmwiki/pmwiki.php/Main/ActualPlay
52,A Cup Angst,https://tvtropes.org/pmwiki/pmwiki.php/Main/ACupAngst
53,Adam And Eve Plot,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdamAndEvePlot
54,Adaptational Angst Upgrade,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalAngstUpgrade
55,Adaptational Attractiveness,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalAttractiveness
56,Adaptational Backstory Change,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalBackstoryChange
57,Adaptational Badass,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalBadass
58,Adaptational Context Change,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalContextChange
59,Adaptational Early Appearance,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalEarlyAppearance
60,Adaptational Gender Identity,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalGenderIdentity
61,Adaptational Heroism,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalHeroism
62,Adaptational Jerkass,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalJerkass
63,Adaptational Karma,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalKarma
64,Adaptational Modesty,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalModesty
65,Adaptational Nice Guy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalNiceGuy
66,Adaptational Sexuality,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalSexuality
67,Adaptational Sympathy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalSympathy
68,Adaptational Villainy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalVillainy
69,Adaptational Wimp,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationalWimp
70,Adaptation Amalgamation,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationAmalgamation
71,Adaptation Decay,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDecay
72,Adaptation Deviation,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDeviation
73,Adaptation Displacement,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDisplacement
74,Adaptation Distillation,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDistillation
75,Adaptation Dye Job,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationDyeJob
76,Adaptation Expansion,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationExpansion
77,Adaptation Explanation Extrication,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationExplanationExtrication
78,Adaptation Induced Plot Hole,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationInducedPlotHole
79,Adaptation Name Change,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationNameChange
80,Adaptation Origin Connection,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationOriginConnection
81,Adaptation Overdosed,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationOverdosed
82,Adaptation Personality Change,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationPersonalityChange
83,Adaptation Relationship Overhaul,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationRelationshipOverhaul
84,Adaptation Species Change,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptationSpeciesChange
85,Adapted Out,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdaptedOut
86,A Day In The Limelight,https://tvtropes.org/pmwiki/pmwiki.php/Main/ADayInTheLimelight
87,Added Alliterative Appeal,https://tvtropes.org/pmwiki/pmwiki.php/Main/AddedAlliterativeAppeal
88,A Death In The Limelight,https://tvtropes.org/pmwiki/pmwiki.php/Main/ADeathInTheLimelight
89,A Dishonorable Index,https://tvtropes.org/pmwiki/pmwiki.php/Main/ADishonorableIndex
90,Administrivia,https://tvtropes.org/pmwiki/pmwiki.php/Main/Administrivia
91,Admiration Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdmirationTropes
92,A Dog Named Dog,https://tvtropes.org/pmwiki/pmwiki.php/Main/ADogNamedDog
93,Adopt An Index,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdoptAnIndex
94,Adored By The Network,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdoredByTheNetwork
95,Adorkable,https://tvtropes.org/pmwiki/pmwiki.php/Main/Adorkable
96,Adult Fear,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdultFear
97,Adults Are Useless,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdultsAreUseless
98,Adults Only Rating,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdultsOnlyRating
99,Adult Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdultTropes
100,A Dungeon Is You,https://tvtropes.org/pmwiki/pmwiki.php/Main/ADungeonIsYou
101,Adventure,https://tvtropes.org/pmwiki/pmwiki.php/Main/Adventure
102,Adventure Board Games,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdventureBoardGames
103,Adventure Game,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdventureGame
104,Adventure Literature,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdventureLiterature
105,Adverbly Adjective Noun,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdverblyAdjectiveNoun
106,Advertised Extra,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdvertisedExtra
107,Advertising,https://tvtropes.org/pmwiki/pmwiki.php/Main/Advertising
108,Advertising Tropes,https://tvtropes.org/pmwiki/pmwiki.php/Main/AdvertisingTropes
109,Aerith And Bob,https://tvtropes.org/pmwiki/pmwiki.php/Main/AerithAndBob
110,Aesop Amnesia,https://tvtropes.org/pmwiki/pmwiki.php/Main/AesopAmnesia
111,A Father To His Men,https://tvtropes.org/pmwiki/pmwiki.php/Main/AFatherToHisMen
112,Affably Evil,https://tvtropes.org/pmwiki/pmwiki.php/Main/AffablyEvil
113,Affectionate Gesture To The Head,https://tvtropes.org/pmwiki/pmwiki.php/Main/AffectionateGestureToTheHead
114,Affectionate Parody,https://tvtropes.org/pmwiki/pmwiki.php/Main/AffectionateParody
115,Affirmative Action Legacy,https://tvtropes.org/pmwiki/pmwiki.php/Main/AffirmativeActionLegacy
